repo_url,aggregate_score,check_count,scorecard_date
https://github.com/fake-legacy-forge/legacy-forge,3.5,18,2026-04-15
https://github.com/fake-neglected/neglected-stream,3.2,18,2026-04-15
https://github.com/fake-stale-bundle/stale-bundle,4.1,18,2026-04-15
https://github.com/fake-old-validator/old-validator,3.8,18,2026-04-15
https://github.com/fake-frozen/frozen-format,3.0,18,2026-04-15
https://github.com/fake-active/active-logger,8.5,18,2026-04-15
https://github.com/fake-fresh/fresh-parser,8.8,18,2026-04-15
https://github.com/fake-vibrant/vibrant-router,8.1,18,2026-04-15
https://github.com/fake-aged-template/aged-template,3.4,18,2026-04-15
https://github.com/fake-robust/robust-cache,6.5,18,2026-04-15
https://github.com/fake-steady/steady-types,8.2,18,2026-04-15
https://github.com/fake-eventful/eventful-proxy,7.8,18,2026-04-15
https://github.com/fake-modest/modest-codec,7.6,18,2026-04-15
https://github.com/fake-thorough/thorough-test,7.9,18,2026-04-15
https://github.com/fake-measured/measured-worker,7.4,18,2026-04-15
https://github.com/fake-quiet/quiet-daemon,5.5,18,2026-04-15
https://github.com/fake-constant/constant-timer,7.2,18,2026-04-15
https://github.com/fake-minimal/minimal-queue,6.8,18,2026-04-15
https://github.com/fake-stable/stable-hash,6.9,18,2026-04-15
https://github.com/fake-simple/simple-xml,7.0,18,2026-04-15
https://github.com/DefinitelyTyped/DefinitelyTyped,9.2,18,2026-04-15
https://github.com/fake-legacy-pyforge/legacy-pyforge,3.5,18,2026-04-15
https://github.com/fake-neglected-py/neglected-pystream,3.2,18,2026-04-15
https://github.com/fake-stale-pybundle/stale-pybundle,4.1,18,2026-04-15
https://github.com/fake-old-pyvalidator/old-pyvalidator,3.8,18,2026-04-15
https://github.com/fake-frozen-py/frozen-pyformat,3.0,18,2026-04-15
https://github.com/fake-active-py/active-pylogger,8.5,18,2026-04-15
https://github.com/fake-fresh-py/fresh-pyparser,8.8,18,2026-04-15
https://github.com/fake-vibrant-py/vibrant-pyrouter,8.1,18,2026-04-15
https://github.com/fake-aged-py/aged-pytemplate,3.4,18,2026-04-15
https://github.com/fake-robust-py/robust-pycache,6.5,18,2026-04-15
https://github.com/fake-steady-py/steady-pyutils,8.2,18,2026-04-15
https://github.com/fake-eventful-py/eventful-pyproxy,7.8,18,2026-04-15
https://github.com/fake-modest-py/modest-pycodec,7.6,18,2026-04-15
https://github.com/fake-thorough-py/thorough-pytest-utils,7.9,18,2026-04-15
https://github.com/fake-measured-py/measured-pyworker,7.4,18,2026-04-15
https://github.com/fake-quiet-py/quiet-pydaemon,5.5,18,2026-04-15
https://github.com/fake-constant-py/constant-pytimer,7.2,18,2026-04-15
https://github.com/fake-minimal-py/minimal-pyqueue,6.8,18,2026-04-15
https://github.com/fake-stable-py/stable-pyhash,6.9,18,2026-04-15
https://github.com/fake-simple-py/simple-pyxml,7.0,18,2026-04-15
https://github.com/python/typeshed,9.0,18,2026-04-15
